 记录条数  时间  bin号  晶号  电压(V)  反向漏电流(uA)  色坐标(x,y)  相关色温(K)  色差  主波长(nm)  色纯度(%)  峰值波长(nm)  显色性指数  光通量(lm)  辐射通量(mW)  光效 
2034 2017_06_07 15:15:31 064 402.8930.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2035 2017_06_07 15:15:31 095 402.8940.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2036 2017_06_07 15:15:31 118 402.8970.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2037 2017_06_07 15:15:31 143 402.8900.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2038 2017_06_07 15:15:31 168 402.8950.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2039 2017_06_07 15:15:31 191 402.8930.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2040 2017_06_07 15:15:31 215 402.8940.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2041 2017_06_07 15:15:31 238 402.9010.21.0100,0.01001001-6.56E-001769.0100.0557.0非数字1.000.000.00
2042 2017_06_07 15:15:31 262 402.8970.21.0100,0.01001001-6.56E-001769.0100.0557.0非数字1.000.000.00
2043 2017_06_07 15:15:31 286 402.9010.21.0100,0.01001001-6.56E-001769.0100.0557.0非数字1.000.000.00
2044 2017_06_07 15:15:31 310 402.9050.21.0100,0.01001001-6.56E-001769.0100.0557.0非数字1.000.000.00
2045 2017_06_07 15:15:31 335 402.9100.21.0100,0.01001001-6.56E-001769.0100.0557.0非数字1.000.000.00
2046 2017_06_07 15:15:31 358 402.8970.21.0100,0.01001001-6.56E-001769.0100.0557.0非数字1.000.000.00
2047 2017_06_07 15:15:31 381 402.8970.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2048 2017_06_07 15:15:31 406 402.8960.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2049 2017_06_07 15:15:31 430 402.8890.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2050 2017_06_07 15:15:31 455 402.8930.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2051 2017_06_07 15:15:31 478 402.8900.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2052 2017_06_07 15:15:31 503 402.8950.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2053 2017_06_07 15:15:31 526 402.8920.31.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2054 2017_06_07 15:15:31 549 402.8920.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2055 2017_06_07 15:15:31 572 402.8920.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2056 2017_06_07 15:15:31 595 402.8910.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2057 2017_06_07 15:15:31 620 402.8890.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2058 2017_06_07 15:15:31 644 402.8930.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2059 2017_06_07 15:15:31 667 402.8900.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2060 2017_06_07 15:15:31 691 402.8910.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2061 2017_06_07 15:15:31 715 402.8930.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2062 2017_06_07 15:15:31 738 402.8950.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2063 2017_06_07 15:15:31 761 402.8930.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2064 2017_06_07 15:15:31 785 402.8920.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2065 2017_06_07 15:15:31 808 402.8960.21.0100,0.01001001-6.56E-001769.0100.0556.9非数字1.000.000.00
2066 2017_06_07 15:15:31 831 402.8920.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2067 2017_06_07 15:15:31 857 402.8920.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2068 2017_06_07 15:15:31 881 402.8950.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2069 2017_06_07 15:15:31 913 402.8900.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2070 2017_06_07 15:15:31 941 402.8930.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2071 2017_06_07 15:15:31 971 402.8960.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2072 2017_06_07 15:15:31 999 402.9000.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2073 2017_06_07 15:15:32 028 402.8910.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2074 2017_06_07 15:15:32 059 402.8930.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2075 2017_06_07 15:15:32 084 402.8930.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2076 2017_06_07 15:15:32 111 402.8940.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2077 2017_06_07 15:15:32 134 402.8970.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2078 2017_06_07 15:15:32 160 402.8910.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2079 2017_06_07 15:15:32 183 402.8930.31.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
2080 2017_06_07 15:15:32 207 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2081 2017_06_07 15:15:32 230 402.8980.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2082 2017_06_07 15:15:32 253 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2083 2017_06_07 15:15:32 277 402.9100.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2084 2017_06_07 15:15:32 301 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2085 2017_06_07 15:15:32 325 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2086 2017_06_07 15:15:32 349 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2087 2017_06_07 15:15:32 373 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2088 2017_06_07 15:15:32 397 402.8890.21.0100,0.01001001-6.56E-001769.0100.0466.1非数字1.000.000.00
2089 2017_06_07 15:15:32 426 402.8870.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2090 2017_06_07 15:15:32 454 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2091 2017_06_07 15:15:32 486 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2092 2017_06_07 15:15:32 516 402.8990.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2093 2017_06_07 15:15:32 546 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2094 2017_06_07 15:15:32 579 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2095 2017_06_07 15:15:32 611 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2096 2017_06_07 15:15:32 643 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2097 2017_06_07 15:15:32 670 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2098 2017_06_07 15:15:32 694 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2099 2017_06_07 15:15:32 718 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2100 2017_06_07 15:15:32 742 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2101 2017_06_07 15:15:32 766 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.3非数字1.000.000.00
2102 2017_06_07 15:15:32 790 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2103 2017_06_07 15:15:32 813 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2104 2017_06_07 15:15:32 837 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2105 2017_06_07 15:15:32 861 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.3非数字1.000.000.00
2106 2017_06_07 15:15:32 885 402.8940.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2107 2017_06_07 15:15:32 908 402.8890.21.0100,0.01001001-6.56E-001769.0100.0496.3非数字1.000.000.00
2108 2017_06_07 15:15:32 932 402.9000.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2109 2017_06_07 15:15:32 956 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2110 2017_06_07 15:15:32 979 402.8980.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2111 2017_06_07 15:15:33 004 402.8890.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2112 2017_06_07 15:15:33 030 402.8940.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2113 2017_06_07 15:15:33 054 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2114 2017_06_07 15:15:33 080 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2115 2017_06_07 15:15:33 106 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2116 2017_06_07 15:15:33 130 402.9020.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2117 2017_06_07 15:15:33 154 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2118 2017_06_07 15:15:33 178 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2119 2017_06_07 15:15:33 203 402.8890.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2120 2017_06_07 15:15:33 227 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2121 2017_06_07 15:15:33 252 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.3非数字1.000.000.00
2122 2017_06_07 15:15:33 275 402.9050.21.0100,0.01001001-6.56E-001769.0100.0496.3非数字1.000.000.00
2123 2017_06_07 15:15:33 299 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.3非数字1.000.000.00
2124 2017_06_07 15:15:33 323 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2125 2017_06_07 15:15:33 346 402.8970.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2126 2017_06_07 15:15:33 370 402.8890.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2127 2017_06_07 15:15:33 394 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2128 2017_06_07 15:15:33 419 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2129 2017_06_07 15:15:33 442 402.8940.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2130 2017_06_07 15:15:33 465 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2131 2017_06_07 15:15:33 489 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2132 2017_06_07 15:15:33 514 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2133 2017_06_07 15:15:33 539 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2134 2017_06_07 15:15:33 565 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2135 2017_06_07 15:15:33 591 402.8940.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2136 2017_06_07 15:15:33 616 402.8990.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2137 2017_06_07 15:15:33 642 402.8940.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2138 2017_06_07 15:15:33 667 402.8930.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2139 2017_06_07 15:15:33 692 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2140 2017_06_07 15:15:33 723 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2141 2017_06_07 15:15:33 749 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2142 2017_06_07 15:15:33 773 402.8960.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2143 2017_06_07 15:15:33 797 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2144 2017_06_07 15:15:33 821 402.8870.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2145 2017_06_07 15:15:33 845 402.9030.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2146 2017_06_07 15:15:33 867 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2147 2017_06_07 15:15:33 892 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2148 2017_06_07 15:15:33 915 402.9100.21.0100,0.01001001-6.56E-001769.0100.0472.1非数字1.000.000.00
2149 2017_06_07 15:15:33 939 402.8940.21.0100,0.01001001-6.56E-001769.0100.0472.1非数字1.000.000.00
2150 2017_06_07 15:15:33 963 402.8910.21.0100,0.01001001-6.56E-001769.0100.0472.1非数字1.000.000.00
2151 2017_06_07 15:15:33 987 402.8930.21.0100,0.01001001-6.56E-001769.0100.0472.1非数字1.000.000.00
2152 2017_06_07 15:15:34 011 402.8900.21.0100,0.01001001-6.56E-001769.0100.0472.1非数字1.000.000.00
2153 2017_06_07 15:15:34 033 402.9010.21.0100,0.01001001-6.56E-001769.0100.0472.1非数字1.000.000.00
2154 2017_06_07 15:15:34 058 402.8880.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2155 2017_06_07 15:15:34 082 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2156 2017_06_07 15:15:34 108 402.8930.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2157 2017_06_07 15:15:34 134 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2158 2017_06_07 15:15:34 159 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2159 2017_06_07 15:15:34 185 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2160 2017_06_07 15:15:34 210 402.8950.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2161 2017_06_07 15:15:34 235 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2162 2017_06_07 15:15:34 259 402.8940.21.0100,0.01001001-6.56E-001769.0100.0726.4非数字1.000.000.00
2163 2017_06_07 15:15:34 282 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2164 2017_06_07 15:15:34 306 402.8950.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2165 2017_06_07 15:15:34 329 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2166 2017_06_07 15:15:34 354 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2167 2017_06_07 15:15:34 378 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2168 2017_06_07 15:15:34 401 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2169 2017_06_07 15:15:34 426 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2170 2017_06_07 15:15:34 453 402.8980.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2171 2017_06_07 15:15:34 479 402.8940.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2172 2017_06_07 15:15:34 505 402.9000.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2173 2017_06_07 15:15:34 531 402.8960.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2174 2017_06_07 15:15:34 559 402.9000.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2175 2017_06_07 15:15:34 588 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2176 2017_06_07 15:15:34 617 402.9000.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2177 2017_06_07 15:15:34 645 402.8930.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2178 2017_06_07 15:15:34 671 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2179 2017_06_07 15:15:34 696 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2180 2017_06_07 15:15:34 722 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2181 2017_06_07 15:15:34 746 402.8940.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2182 2017_06_07 15:15:34 770 402.8960.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2183 2017_06_07 15:15:34 794 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2184 2017_06_07 15:15:34 817 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2185 2017_06_07 15:15:34 840 402.9040.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2186 2017_06_07 15:15:34 864 402.8940.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2187 2017_06_07 15:15:34 888 402.8930.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2188 2017_06_07 15:15:34 912 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2189 2017_06_07 15:15:34 936 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2190 2017_06_07 15:15:34 960 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2191 2017_06_07 15:15:34 985 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2192 2017_06_07 15:15:35 010 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2193 2017_06_07 15:15:35 035 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2194 2017_06_07 15:15:35 061 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2195 2017_06_07 15:15:35 087 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2196 2017_06_07 15:15:35 110 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2197 2017_06_07 15:15:35 136 402.9070.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2198 2017_06_07 15:15:35 160 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2199 2017_06_07 15:15:35 186 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2200 2017_06_07 15:15:35 211 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2201 2017_06_07 15:15:35 237 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2202 2017_06_07 15:15:35 261 402.8940.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2203 2017_06_07 15:15:35 286 402.9030.21.0100,0.01001001-6.56E-001769.0100.0496.3非数字1.000.000.00
2204 2017_06_07 15:15:35 310 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2205 2017_06_07 15:15:35 334 402.8940.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2206 2017_06_07 15:15:35 356 402.9020.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2207 2017_06_07 15:15:35 380 402.8990.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2208 2017_06_07 15:15:35 404 402.9020.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2209 2017_06_07 15:15:35 428 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2210 2017_06_07 15:15:35 452 402.9000.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2211 2017_06_07 15:15:35 477 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2212 2017_06_07 15:15:35 502 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2213 2017_06_07 15:15:35 528 402.8990.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2214 2017_06_07 15:15:35 553 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2215 2017_06_07 15:15:35 580 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2216 2017_06_07 15:15:35 607 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2217 2017_06_07 15:15:35 634 402.8890.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2218 2017_06_07 15:15:35 660 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2219 2017_06_07 15:15:35 687 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2220 2017_06_07 15:15:35 716 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2221 2017_06_07 15:15:35 742 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2222 2017_06_07 15:15:35 767 402.9060.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2223 2017_06_07 15:15:35 792 402.8930.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2224 2017_06_07 15:15:35 815 402.9020.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2225 2017_06_07 15:15:35 839 402.9000.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2226 2017_06_07 15:15:35 862 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2227 2017_06_07 15:15:35 885 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2228 2017_06_07 15:15:35 908 402.8930.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2229 2017_06_07 15:15:35 934 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2230 2017_06_07 15:15:35 960 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2231 2017_06_07 15:15:35 987 402.8990.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2232 2017_06_07 15:15:36 012 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2233 2017_06_07 15:15:36 039 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2234 2017_06_07 15:15:36 064 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2235 2017_06_07 15:15:36 091 402.8990.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2236 2017_06_07 15:15:36 117 402.8870.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2237 2017_06_07 15:15:36 142 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2238 2017_06_07 15:15:36 168 402.9020.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2239 2017_06_07 15:15:36 193 402.8870.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2240 2017_06_07 15:15:36 218 402.8940.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2241 2017_06_07 15:15:36 245 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2242 2017_06_07 15:15:36 269 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2243 2017_06_07 15:15:36 293 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2244 2017_06_07 15:15:36 316 402.8980.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2245 2017_06_07 15:15:36 339 402.9030.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2246 2017_06_07 15:15:36 364 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2247 2017_06_07 15:15:36 388 402.8990.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2248 2017_06_07 15:15:36 412 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2249 2017_06_07 15:15:36 436 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2250 2017_06_07 15:15:36 460 402.8890.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2251 2017_06_07 15:15:36 485 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2252 2017_06_07 15:15:36 508 402.8900.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2253 2017_06_07 15:15:36 532 402.8940.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2254 2017_06_07 15:15:36 558 402.8980.21.0100,0.01001001-6.56E-001769.0100.0496.3非数字1.000.000.00
2255 2017_06_07 15:15:36 585 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2256 2017_06_07 15:15:36 610 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.3非数字1.000.000.00
2257 2017_06_07 15:15:36 637 402.9030.21.0100,0.01001001-6.56E-001769.0100.0496.3非数字1.000.000.00
2258 2017_06_07 15:15:36 663 402.8910.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2259 2017_06_07 15:15:36 690 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2260 2017_06_07 15:15:36 718 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2261 2017_06_07 15:15:36 753 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2262 2017_06_07 15:15:36 777 402.9020.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2263 2017_06_07 15:15:36 803 402.8980.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
2264 2017_06_07 15:15:36 828 402.8960.31.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
